# class=tennis ball
# object_index=1

FRAME 29
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 30
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 31
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 32
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 35
360 317
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 36
360 317
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 37
360 317
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 38
360 317
361 317
362 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 39
360 317
361 317
359 318
360 318
361 318
362 318
363 318
360 319
361 319
362 319

FRAME 154
360 149
361 149
362 149
363 149
360 150
361 150
362 150
363 150
360 151
361 151
362 151
363 151
361 152
362 152
363 152

FRAME 155
366 156
367 156
368 156
366 157
367 157
368 157
369 157
366 158
367 158
368 158
369 158
367 159
368 159
369 159

FRAME 158
381 174
380 175
381 175
382 175
383 175
380 176
381 176
382 176
383 176
381 177
382 177
383 177
384 177
381 178
382 178
383 178
384 178
382 179
383 179
